"Periodo","# Clicks","# Registros IN","# Primer depósito IN","Total depositado IN","# Personas que apostaron IN","Total apostado","Net revenue IN"
2023-08-15,NA,28,22,10462.8092088816,905,55733.619636301,4458.04464928852
2023-08-15,NA,0,0,0,1,3.63665754,1.4970906873
2023-08-16,NA,46,29,17157.4267831932,922,95882.3292580267,1462.41721788823
2023-08-16,NA,0,0,0,1,18.0761004,3.51459645444
2023-08-17,NA,56,19,16230.8833462377,1074,113438.363449327,1878.70336230089
2023-08-17,NA,0,0,0,1,1.20680154,1.146461463
2023-08-18,NA,7,13,12297.987998614,766,62926.7991328176,4127.17945498454
2023-08-19,1,4,12,14456.48555634,1046,72328.9546265748,3576.68127415608
2023-08-19,NA,0,0,0,1,12.091752,-0.58709486544
2023-08-20,NA,6,13,11139.6401425276,1055,49704.5419338017,4150.11827996442
2023-08-20,1,0,0,NA,NA,NA,NA
2023-08-20,NA,0,0,0,1,14.88741916,1.65511888418
2023-08-21,NA,1,6,8680.7957696074,694,44880.3463814674,-2139.27813493294
2023-08-22,1,2,4,12578.1407726962,790,101036.279716265,2814.00244787418
2023-08-23,NA,7,6,11415.426199758,817,82924.4568898528,-1696.33934329392
2023-08-24,NA,1,4,16233.7822696683,961,120468.115594314,3469.05756467634
2023-08-25,NA,1,5,16583.3571345806,809,83966.7597291016,4450.1623801412
2023-08-25,NA,0,0,0,1,6.1627839,2.172073185555
2023-08-26,NA,0,8,14820.715743596,929,92020.1502970743,9724.1836979109
2023-08-26,NA,0,0,0,1,8.58356814,0.37277210208
2023-08-27,NA,2,9,13420.7359792128,1001,147387.715434517,-4382.79032011094
2023-08-28,NA,1,4,7277.9199129504,652,61574.8472077011,741.876608389728
2023-08-29,NA,1,5,9727.0081870572,652,72534.8394695625,4967.02730182417
2023-08-30,NA,5,5,8744.3265116208,813,41267.7005048704,-1339.74323242711
2023-08-31,NA,1,8,9504.9769994376,868,47020.3290266701,8359.66567648714
2023-09-01,NA,2,5,8386.1653493184,768,48771.1768952232,478.618962955728
2023-09-02,NA,1,1,13803.211856549,836,61897.2612059416,4656.05759479698
2023-09-02,NA,0,0,0,1,1.2159681,-1.09741121025
2023-09-03,NA,5,6,12298.0143869432,972,61015.1398366259,4860.335234995
2023-09-03,NA,0,0,0,1,12.1547544,-2.5403436696
2023-09-04,NA,2,2,5622.0621259684,555,49270.9684011933,1699.31954582156
2023-09-05,1,1,5,7637.5944674504,578,51182.676794576,3007.70128121552
2023-09-05,1,0,0,NA,NA,NA,NA
2023-09-06,NA,1,5,7761.377168951,581,47272.8602235028,703.90770992794
2023-09-07,NA,1,2,10840.7450713776,674,67026.0638845835,3084.4922492121
2023-09-07,NA,0,0,0,1,2.0116596,-1.4906397636
2023-09-08,NA,0,1,11214.3960402903,682,70127.1106693194,3270.25564951285
2023-09-09,NA,0,4,10238.6475152452,774,83542.3156747991,6453.21358041961
2023-09-10,2,0,1,8868.4388032752,648,47301.5370375669,1321.20984457904
2023-09-10,NA,0,0,0,1,14.0411124,1.715021586
2023-09-11,NA,2,5,7570.5545962008,539,44295.7423859263,-328.491664128144
2023-09-11,1,0,0,NA,NA,NA,NA
2023-09-11,1,0,0,NA,NA,NA,NA
2023-09-12,NA,1,3,7682.7856278492,681,33333.8474564317,1238.0079917701
2023-09-12,NA,0,0,0,1,9.5230189048,5.87219077256
2023-09-13,1,2,4,8470.3942445472,715,47320.7751143865,3078.61305254225
2023-09-14,NA,2,0,7827.6213880988,793,35578.3452061123,1706.13109242028
2023-09-14,NA,0,0,0,1,16.939823646,-18.1068572245
2023-09-15,NA,5,2,9802.900641247,734,46371.9283663335,5766.11448476939
2023-09-15,NA,0,0,0,1,17.6698666485,-0.917343651675
2023-09-16,NA,1,8,10545.9286320472,799,41793.6560447633,-1468.25023657444
2023-09-16,NA,0,0,0,1,47.2338419,2.6142904669
2023-09-17,NA,6,12,10563.3425178528,864,43020.6244683219,1125.97903706763
2023-09-17,NA,0,0,0,1,6.1626318,-4.7811751715
2023-09-18,1,0,0,NA,NA,NA,NA
2023-09-19,1,3,3,12250.1292783272,765,116987.57805285,175.273456460808
2023-09-19,2,0,0,NA,NA,NA,NA
2023-09-19,NA,0,0,0,1,35.4773170748,24.98416990406
2023-09-20,NA,3,6,9911.3443569204,795,100493.092765604,5872.00108022337
2023-09-20,NA,0,0,0,1,70.5231448008,-2.0155060806
2023-09-21,NA,2,8,10699.7057379828,779,55891.2997286052,-1315.82823869378
2023-09-21,NA,0,0,0,1,35.575739325,14.527791405225
2023-09-22,NA,1,4,8284.6903175015,743,63848.8324944868,1503.35462730975
2023-09-22,NA,0,0,20.337191,1,60.6882116631,16.547863886925
2023-09-23,NA,1,5,10010.9293731972,774,74746.9407156131,3160.01943833545
2023-09-23,NA,0,0,0,1,17.2773006,6.8357131668
2023-09-24,NA,2,8,9435.1592407356,891,62595.9008039916,1938.00750005678
2023-09-24,NA,0,0,0,1,8.2730845872,-2.38489287084
